x,y,z
1.35785,-0.0838737,0.019716
1.35755,-0.088613,0.019716
1.35225,-0.0930147,0.0195997
1.35191,-0.0977344,0.0195997
1.34658,-0.102082,0.0194834
1.34622,-0.106781,0.0194834
1.34085,-0.111074,0.0193671
1.34046,-0.115754,0.0193671
1.34004,-0.120432,0.0193671
1.33957,-0.125573,0.0193671
1.33913,-0.130252,0.0193671
1.33866,-0.134925,0.0193671
1.33818,-0.139597,0.0193671
1.32124,0.254061,0.0193671
1.32298,0.244831,0.0193671
1.31974,0.234707,0.0192508
1.32055,0.230099,0.0192508
1.31719,0.220044,0.0191345
1.31795,0.215445,0.0191345
1.3187,0.210843,0.0191345
1.31943,0.206238,0.0191345
1.32014,0.201632,0.0191345
1.32083,0.197022,0.0191345
1.32151,0.192411,0.0191345
1.32218,0.187797,0.0191345
1.32282,0.18318,0.0191345
1.32346,0.178561,0.0191345
1.32407,0.17394,0.0191345
1.32467,0.169318,0.0191345
1.32086,0.15946,0.0190181
1.32141,0.154848,0.0190181
1.32691,0.150806,0.0191345
1.32742,0.146173,0.0191345
1.3329,0.142075,0.0192508
1.33836,0.13794,0.0193671
1.33883,0.133268,0.0193671
1.33929,0.128594,0.0193671
1.33973,0.123918,0.0193671
1.34015,0.11924,0.0193671
1.34056,0.114562,0.0193671
1.34095,0.109882,0.0193671
1.34631,0.105598,0.0194834
1.34667,0.100898,0.0194834
1.34701,0.0961965,0.0194834
1.34734,0.0914936,0.0194834
1.34765,0.0867903,0.0194834
1.34795,0.0820852,0.0194834
1.34822,0.0773798,0.0194834
1.34849,0.0726734,0.0194834
1.34873,0.0679655,0.0194834
1.34896,0.0632568,0.0194834
1.34917,0.0585479,0.0194834
1.34937,0.0538383,0.0194834
1.34955,0.0491275,0.0194834
1.34971,0.0444167,0.0194834
1.34986,0.0397047,0.0194834
1.34999,0.0349928,0.0194834
1.3501,0.0302805,0.0194834
1.3502,0.0255673,0.0194834
1.35028,0.0208537,0.0194834
1.35535,0.0162068,0.0195997
1.35539,0.0114759,0.0195997
1.35543,0.00674426,0.0195997
1.35544,0.00154296,0.0195997
1.35544,-0.00295047,0.0195997
1.35542,-0.00791934,0.0195997
1.35538,-0.0126541,0.0195997
1.35033,-0.0173276,0.0194834
1.34527,-0.021966,0.0193671
1.34018,-0.0265693,0.0192508
1.34008,-0.0312472,0.0192508
1.33996,-0.0359248,0.0192508
1.34982,-0.0408915,0.0194834
1.35967,-0.0459275,0.019716
1.36449,-0.0508531,0.0198323
1.32621,0.195695,0.0117259
1.35163,0.194581,0.0121622
1.39192,0.195353,0.0128603
1.36847,0.182372,0.012424
1.3443,0.174423,0.0119877
1.32563,0.162634,0.0116386
1.32123,0.157423,0.0115513
1.35157,0.156201,0.0120749
1.39683,0.156411,0.0128603
1.37251,0.148883,0.012424
1.37302,0.144091,0.012424
1.3197,0.124635,0.0114641
1.32511,0.120471,0.0115513
1.32552,0.115846,0.0115513
1.32592,0.111218,0.0115513
1.3263,0.106588,0.0115513
1.32666,0.101958,0.0115513
1.32701,0.097327,0.0115513
1.32267,0.087738,0.0114641
1.31826,0.0782156,0.0113768
1.31852,0.0736132,0.0113768
1.31877,0.0690105,0.0113768
1.319,0.0644064,0.0113768
1.31922,0.0598021,0.0113768
1.31942,0.0551971,0.0113768
1.3196,0.0505908,0.0113768
1.31977,0.0459839,0.0113768
1.31993,0.041377,0.0113768
